N,k,mode,auc,acc_at_theta,z_hit_mean,z_miss_mean,u_hit_mean,u_miss_mean
200,100,n_aware,0.9999375,0.99875,4.18628297501804,-2.4439237919133636,0.038948944458526376,0.9090420848738894
200,100,k_only,0.9999375,0.9962500000000001,3.8933646329677405,-2.736842133963663,0.04967199302072386,0.9297150908509175
700,100,n_aware,1.0,0.99875,3.8468685064902752,-2.2640080421413855,0.044975608185756834,0.89536524533175
700,100,k_only,1.0,0.99875,3.9489451245583482,-2.1619314240733125,0.04112897155894196,0.8858019486620808
2000,100,n_aware,0.99995625,0.9962500000000001,3.6195475173677276,-2.02013548871677,0.05998049881887279,0.8717292262235368
2000,100,k_only,0.99995625,0.9962500000000001,4.0242930826521635,-1.6153899234323341,0.042781400307864086,0.8220014056523351
